Departmets|Groups|Job Type|Marital Status|Age|Business Unit|Hire Date|Emp.Type|Sick Days|Balance Days|Years in current role|Years since last promition|Education|Job Involvement|Job Satisfaction|Performance Rating|Relationship Satisfaction|WorkLife Balance|Last Name|Gender|Salary|Job Classification
Legal Department|Group C|Full Time|Married|55|Los Angeles|07/09/2016|Non Active|5|20|2 Years|3 Years|Doctor|Medium|Medium|Low|High|Better|Richmond|Male|84054|Blue Collar
Asset Management|Group C|Part Time|Married|50|New York City|09/13/2016|Active|9|6|1 Year|3 Years|Bachelor|Very High|High|Outstanding|Low|Good|Dickerson|Male|83464|Blue Collar
Payroll|Group A|Full Time|Divorced|29|Houston|04/26/2018|Active|10|19|2 Years|2 Years|Masters|Low|High|Low|High|Better|Johnson|Male|112214|White Collar
Finances|Group A|Full Time|Married|33|Seattle|08/30/2017|Active|9|17|2 Years|3 Years|Bachelor|Medium|High|Excellent|High|Better|Prince|Female|94069|White Collar
Human Resources|Group A|Part Time|Married|34|Seattle|04/27/2015|Non Active|5|5|3 Years|1 Year|Bachelor|Low|Medium|Outstanding|High|Better|England|Female|76408|Other
Asset Management|Group D|Part Time|Single|24|Houston|12/03/2018|Non Active|4|6|3 Years|1 Year|Bachelor|Very High|High|Outstanding|High|Good|Skinner|Female|85494|Blue Collar
Accounting|Group D|Full Time|Divorced|37|Los Angeles|03/24/2017|Non Active|6|7|1 Year|2 Years|Masters|Very High|Low|Good|High|Good|Lawrence|Male|106949|Other
Research and Development|Group A|Part Time|Married|42|Seattle|02/08/2016|Non Active|2|8|1 Year|2 Years|Masters|Low|High|Outstanding|Very High|Bad|Luna|Male|83643|Other
Legal Department|Group D|Part Time|Married|41|Houston|10/10/2014|Active|9|10|1 Year|3 Years|Bachelor|High|Low|Good|Low|Bad|Sharp|Male|77665|Other
Tech Support|Group D|Part Time|Divorced|61|Los Angeles|12/27/2016|Non Active|10|9|2 Years|3 Years|Doctor|Very High|High|Low|High|Bad|Ochoa|Female|93880|Blue Collar
Tech Support|Group A|Full Time|Divorced|27|Houston|11/03/2016|Non Active|10|6|1 Year|2 Years|College|Medium|Medium|Good|Very High|Best|Hester|Female|106529|Other
Payroll|Group C|Full Time|Divorced|33|Los Angeles|10/07/2013|Non Active|2|19|3 Years|1 Year|College|Low|Very High|Low|Low|Better|Vincent|Female|72919|White Collar
Tech Support|Group A|Full Time|Divorced|24|Houston|05/03/2017|Active|9|9|1 Year|3 Years|College|Medium|High|Low|Low|Bad|Morrow|Male|103257|Blue Collar
Sales and Marketing|Group D|Full Time|Divorced|59|New York City|04/03/2016|Non Active|2|17|1 Year|1 Year|Bachelor|Low|Medium|Outstanding|Very High|Better|Dillard|Female|71498|Other
Payroll|Group B|Full Time|Married|39|Houston|04/08/2014|Active|9|9|3 Years|2 Years|Bachelor|Medium|High|Outstanding|Medium|Bad|Walls|Male|72200|Blue Collar
Finances|Group A|Part Time|Single|36|Houston|03/15/2014|Non Active|2|10|2 Years|2 Years|College|High|Low|Excellent|Medium|Good|Chase|Female|112851|Blue Collar
Finances|Group B|Full Time|Married|31|Seattle|08/13/2014|Active|7|10|2 Years|2 Years|Masters|Medium|Low|Excellent|Very High|Better|Stone|Male|93309|Blue Collar
Finances|Group B|Full Time|Divorced|49|Seattle|09/14/2016|Active|9|10|1 Year|1 Year|Masters|Very High|Very High|Good|Medium|Better|Schmidt|Male|76579|Blue Collar
Sales and Marketing|Group D|Part Time|Single|33|Los Angeles|07/05/2018|Non Active|6|8|3 Years|3 Years|Masters|Low|Very High|Low|Medium|Better|Ford|Male|89658|Other
Finances|Group A|Part Time|Single|38|New York City|08/07/2016|Active|7|9|2 Years|1 Year|Masters|Medium|High|Excellent|Medium|Best|Gross|Male|70280|White Collar
Media Relations|Group C|Full Time|Married|35|Houston|06/01/2015|Non Active|2|10|3 Years|1 Year|Bachelor|Low|Very High|Good|High|Bad|Osborn|Female|76235|Blue Collar
Payroll|Group C|Full Time|Married|63|New York City|10/10/2016|Active|10|7|2 Years|3 Years|Bachelor|High|High|Excellent|Medium|Better|Nguyen|Female|90978|White Collar
Sales and Marketing|Group B|Full Time|Single|40|New York City|06/15/2017|Non Active|7|15|1 Year|1 Year|College|Medium|Medium|Good|Low|Best|Talley|Female|108512|White Collar
Payroll|Group C|Part Time|Single|26|Los Angeles|04/19/2016|Active|2|20|3 Years|3 Years|Masters|Very High|Very High|Outstanding|Medium|Good|Wade|Female|96015|Blue Collar
Quality Assurance|Group D|Full Time|Single|54|Houston|12/12/2014|Active|4|10|3 Years|2 Years|College|Very High|Medium|Good|High|Bad|Allison|Female|110713|White Collar
Public Relations|Group B|Part Time|Married|59|Seattle|10/21/2016|Non Active|7|11|3 Years|1 Year|Masters|Very High|High|Good|Low|Good|Kline|Female|115718|White Collar
Sales and Marketing|Group B|Part Time|Married|37|Houston|09/14/2015|Active|11|6|2 Years|2 Years|Bachelor|Very High|Low|Low|Low|Bad|Floyd|Male|72586|Other
Media Relations|Group C|Full Time|Married|32|New York City|09/15/2014|Active|4|20|1 Year|3 Years|Bachelor|Medium|High|Good|Very High|Better|Doyle|Male|104233|Other
Accounting|Group D|Full Time|Married|64|Los Angeles|08/26/2014|Non Active|2|7|1 Year|3 Years|Masters|Low|Low|Excellent|High|Better|Huffman|Female|117899|White Collar
Payroll|Group B|Part Time|Divorced|57|Houston|02/22/2013|Active|6|15|2 Years|2 Years|Doctor|Low|Low|Good|Low|Bad|Velazquez|Male|79460|White Collar
Sales and Marketing|Group D|Full Time|Married|42|New York City|05/08/2013|Non Active|10|7|1 Year|1 Year|Doctor|Medium|Very High|Outstanding|Very High|Best|Walter|Male|89946|Other
Payroll|Group A|Full Time|Married|63|Seattle|09/20/2017|Non Active|6|10|2 Years|1 Year|Doctor|Low|Medium|Low|Low|Best|Jordan|Female|84968|Blue Collar
Tech Support|Group D|Full Time|Married|54|New York City|12/12/2017|Non Active|5|6|1 Year|3 Years|College|High|Very High|Low|High|Bad|Whitfield|Female|113310|Other
Accounting|Group C|Full Time|Married|41|Los Angeles|07/30/2013|Active|2|19|3 Years|2 Years|Bachelor|High|Medium|Excellent|Low|Bad|Bell|Female|103289|White Collar
Public Relations|Group D|Part Time|Divorced|58|Seattle|03/03/2017|Non Active|10|11|1 Year|2 Years|Masters|Low|High|Good|High|Good|Conway|Male|97400|Blue Collar
Media Relations|Group C|Full Time|Divorced|44|New York City|12/14/2015|Non Active|6|18|2 Years|1 Year|Bachelor|Medium|Medium|Low|Low|Bad|Christensen|Female|73086|Blue Collar
Advertising|Group B|Full Time|Single|43|Seattle|04/13/2016|Active|2|14|3 Years|1 Year|Doctor|Low|Medium|Good|Low|Good|Barrett|Female|106676|White Collar
Advertising|Group D|Full Time|Single|38|New York City|05/26/2016|Non Active|6|10|1 Year|1 Year|Doctor|Low|Medium|Excellent|Low|Bad|Cox|Female|87437|Other
Legal Department|Group B|Part Time|Married|25|Houston|04/17/2017|Non Active|10|19|3 Years|2 Years|Bachelor|Medium|Very High|Good|Very High|Best|Morales|Female|102523|Other
Human Resources|Group C|Full Time|Single|60|Seattle|04/13/2015|Non Active|8|13|1 Year|1 Year|College|Very High|Medium|Low|Low|Best|Carr|Female|84462|Blue Collar
Sales and Marketing|Group A|Full Time|Divorced|60|Los Angeles|12/04/2015|Active|12|14|2 Years|3 Years|Bachelor|Low|High|Low|Low|Better|Allison|Female|73108|Other
Advertising|Group B|Part Time|Single|27|Seattle|05/25/2018|Non Active|12|18|1 Year|1 Year|Doctor|Medium|Medium|Outstanding|Very High|Good|Roach|Female|94736|Other
Payroll|Group D|Full Time|Divorced|48|New York City|08/03/2018|Non Active|6|17|3 Years|1 Year|Masters|Low|Medium|Outstanding|Medium|Good|Dillon|Female|88280|Blue Collar
Research and Development|Group A|Full Time|Single|47|Los Angeles|08/02/2014|Active|7|20|1 Year|1 Year|Doctor|High|Medium|Good|Low|Better|Emerson|Female|93284|Other
Research and Development|Group A|Full Time|Married|38|New York City|09/04/2017|Non Active|8|9|2 Years|3 Years|College|High|Low|Good|Low|Good|Sharp|Male|96007|Blue Collar
Quality Assurance|Group A|Part Time|Divorced|56|Houston|06/20/2017|Active|12|7|2 Years|1 Year|College|Medium|Very High|Outstanding|Low|Good|Rodriguez|Female|118802|White Collar
Quality Assurance|Group B|Part Time|Divorced|31|Houston|03/14/2015|Non Active|12|10|3 Years|1 Year|Bachelor|Low|Low|Good|Low|Best|Cooper|Male|109072|Other
Payroll|Group D|Part Time|Married|60|Houston|02/04/2017|Non Active|5|11|2 Years|3 Years|Bachelor|Very High|Low|Good|High|Best|Frank|Female|98964|Blue Collar
Media Relations|Group C|Full Time|Married|44|New York City|08/18/2015|Active|2|15|3 Years|3 Years|Bachelor|Low|Medium|Excellent|Medium|Best|Flowers|Female|107631|Blue Collar
Research and Development|Group A|Part Time|Married|56|New York City|01/31/2017|Non Active|11|7|3 Years|2 Years|Bachelor|Very High|High|Excellent|Medium|Bad|Ross|Male|76969|White Collar
Asset Management|Group D|Part Time|Divorced|60|Los Angeles|08/10/2014|Non Active|3|17|2 Years|3 Years|College|Medium|High|Outstanding|Low|Bad|Hensley|Male|71206|Blue Collar
Customer Relations|Group C|Full Time|Single|31|Los Angeles|11/14/2016|Non Active|11|6|1 Year|3 Years|Doctor|Medium|High|Excellent|Very High|Best|Best|Male|102015|White Collar
Finances|Group B|Part Time|Married|27|Houston|04/14/2015|Non Active|5|8|1 Year|1 Year|Bachelor|Very High|Low|Low|Very High|Better|Meyer|Female|71317|Other
Finances|Group D|Part Time|Married|50|New York City|05/24/2017|Non Active|11|12|1 Year|2 Years|Masters|High|Medium|Excellent|High|Good|Bentley|Female|102068|Other
Advertising|Group D|Full Time|Divorced|61|Houston|06/06/2018|Non Active|12|16|2 Years|3 Years|Bachelor|Medium|Medium|Low|High|Better|Harding|Female|83683|Blue Collar
Media Relations|Group D|Part Time|Married|31|Los Angeles|08/05/2017|Active|9|5|1 Year|2 Years|College|Low|Low|Low|Low|Bad|Hammond|Male|107850|Blue Collar
Tech Support|Group A|Full Time|Married|51|Seattle|10/28/2018|Non Active|2|6|2 Years|3 Years|Doctor|Low|High|Low|Very High|Good|Thompson|Male|76945|Blue Collar
Sales and Marketing|Group C|Part Time|Single|29|Houston|08/02/2018|Active|7|5|1 Year|1 Year|Bachelor|Medium|Medium|Low|Low|Bad|Nunez|Male|86469|White Collar
Finances|Group B|Part Time|Single|32|Seattle|10/08/2015|Non Active|11|19|2 Years|1 Year|College|Low|Medium|Good|Very High|Best|Gibson|Female|118555|Blue Collar
Research and Development|Group B|Part Time|Divorced|61|Los Angeles|09/05/2016|Active|10|19|3 Years|1 Year|Bachelor|Medium|Very High|Good|Low|Best|Winters|Male|106324|Blue Collar
Asset Management|Group C|Part Time|Married|64|Seattle|12/30/2016|Non Active|1|12|1 Year|3 Years|Doctor|Very High|High|Outstanding|Very High|Bad|Edwards|Female|108285|Blue Collar
Tech Support|Group B|Full Time|Divorced|56|New York City|01/23/2014|Non Active|12|16|1 Year|3 Years|College|Very High|Low|Good|Low|Better|Figueroa|Female|90684|White Collar
Human Resources|Group D|Part Time|Married|55|New York City|04/05/2018|Active|9|12|1 Year|3 Years|Doctor|Medium|Medium|Low|Low|Good|Morrow|Male|105968|Other
Accounting|Group A|Full Time|Divorced|45|Houston|05/04/2013|Active|9|15|1 Year|1 Year|Bachelor|Low|Very High|Low|High|Better|Cohen|Female|109379|Blue Collar
Legal Department|Group C|Full Time|Divorced|52|Los Angeles|07/02/2016|Non Active|5|14|2 Years|1 Year|Bachelor|Low|Very High|Excellent|Medium|Good|Sims|Female|97982|Blue Collar
Public Relations|Group A|Part Time|Married|37|New York City|06/06/2013|Non Active|9|14|3 Years|3 Years|Bachelor|Low|Very High|Excellent|Low|Good|Pearson|Female|71630|Blue Collar
Tech Support|Group B|Full Time|Single|47|Houston|04/26/2014|Active|2|12|1 Year|1 Year|Doctor|High|Medium|Low|Low|Good|Chapman|Female|83863|Blue Collar
Human Resources|Group A|Full Time|Divorced|26|Seattle|05/29/2018|Active|4|6|2 Years|1 Year|College|Very High|Very High|Good|Medium|Best|Acosta|Female|85002|Other
Advertising|Group A|Full Time|Single|53|Los Angeles|04/23/2014|Active|9|19|2 Years|1 Year|Masters|Low|Low|Good|Very High|Bad|Mcdowell|Male|119525|Blue Collar
Legal Department|Group C|Part Time|Divorced|48|Seattle|04/04/2014|Active|12|10|3 Years|1 Year|Bachelor|Low|Low|Low|High|Good|Collins|Male|117932|White Collar
Sales and Marketing|Group D|Full Time|Single|59|Houston|03/10/2015|Active|7|6|2 Years|3 Years|Doctor|Very High|High|Low|Medium|Good|Finch|Female|96821|Other
Asset Management|Group D|Part Time|Single|30|Los Angeles|08/06/2017|Non Active|7|10|3 Years|2 Years|College|Very High|Very High|Outstanding|Very High|Best|Gilmore|Male|80578|Other
Media Relations|Group B|Part Time|Single|30|Seattle|10/13/2018|Active|7|9|1 Year|2 Years|Masters|Low|Low|Outstanding|High|Good|Conner|Male|86570|Other
Customer Service|Group C|Full Time|Married|33|Los Angeles|11/06/2015|Non Active|5|12|1 Year|3 Years|Doctor|Medium|Very High|Low|High|Best|Booth|Male|79974|Other
Accounting|Group C|Part Time|Single|56|Los Angeles|10/05/2016|Non Active|7|10|1 Year|1 Year|Doctor|Medium|Very High|Low|Medium|Bad|Cooley|Female|78597|Blue Collar
Sales and Marketing|Group B|Part Time|Divorced|51|New York City|05/07/2013|Active|8|12|1 Year|3 Years|Masters|Low|Medium|Outstanding|High|Bad|Mercer|Female|118661|Other
Tech Support|Group C|Full Time|Divorced|27|New York City|04/15/2016|Active|11|15|1 Year|2 Years|Doctor|Low|Very High|Low|Medium|Bad|Finch|Female|90037|White Collar
Public Relations|Group C|Full Time|Single|57|Seattle|03/25/2014|Non Active|1|12|3 Years|2 Years|Bachelor|Very High|Very High|Excellent|Very High|Bad|Buckner|Male|71721|Other
Asset Management|Group A|Full Time|Single|26|Los Angeles|09/18/2016|Non Active|8|19|1 Year|2 Years|College|Low|Low|Low|High|Best|Brock|Female|81041|Other
Asset Management|Group B|Part Time|Divorced|32|New York City|08/24/2014|Non Active|10|18|3 Years|3 Years|Bachelor|Very High|High|Excellent|Low|Best|Anderson|Male|91527|Other
Tech Support|Group C|Full Time|Divorced|53|Seattle|09/23/2015|Active|1|13|3 Years|1 Year|College|Medium|Low|Outstanding|Very High|Better|Shields|Female|114136|Blue Collar
Advertising|Group B|Part Time|Married|27|Houston|06/12/2017|Active|7|8|1 Year|3 Years|Bachelor|Low|High|Good|Medium|Good|Wilcox|Male|117671|Blue Collar
Quality Assurance|Group D|Part Time|Married|39|New York City|04/03/2016|Active|2|7|3 Years|1 Year|College|Low|Low|Good|Very High|Bad|Flowers|Male|107238|Other
Human Resources|Group B|Part Time|Divorced|62|New York City|04/19/2017|Non Active|4|10|1 Year|2 Years|Bachelor|Low|Low|Low|Low|Good|Riley|Female|87931|Other
Research and Development|Group D|Part Time|Single|46|New York City|05/22/2013|Active|2|11|2 Years|1 Year|Masters|Medium|Low|Low|Medium|Better|Nicholson|Male|74375|Blue Collar
Quality Assurance|Group A|Part Time|Divorced|64|Houston|01/01/2015|Non Active|9|13|2 Years|1 Year|Masters|Medium|Low|Low|High|Bad|Camacho|Female|118052|Other
Public Relations|Group B|Part Time|Divorced|53|Los Angeles|02/06/2017|Non Active|6|10|1 Year|2 Years|College|Medium|Low|Low|Medium|Bad|Reeves|Male|78075|White Collar
Tech Support|Group C|Full Time|Married|60|Seattle|11/30/2015|Active|9|12|2 Years|1 Year|Masters|Low|Medium|Low|Low|Better|Crane|Female|72144|Other
Payroll|Group D|Part Time|Married|51|New York City|09/12/2013|Non Active|2|6|2 Years|3 Years|Bachelor|High|Very High|Low|Low|Good|Wynn|Male|111062|Blue Collar
Human Resources|Group D|Part Time|Married|45|Los Angeles|04/24/2016|Active|5|7|1 Year|3 Years|College|High|High|Low|Medium|Good|Paul|Male|104443|Other
Asset Management|Group A|Part Time|Single|35|Los Angeles|03/06/2013|Non Active|9|14|1 Year|2 Years|Doctor|Very High|Medium|Low|High|Better|Dennis|Male|74295|White Collar
Finances|Group C|Full Time|Divorced|26|Houston|08/07/2017|Active|4|18|2 Years|2 Years|Bachelor|Medium|Low|Excellent|High|Better|Gross|Female|111916|White Collar
Finances|Group C|Part Time|Married|33|New York City|10/10/2016|Non Active|10|20|3 Years|2 Years|Doctor|High|Low|Good|High|Bad|Hurley|Male|83862|Blue Collar
Accounting|Group C|Part Time|Married|53|Houston|10/18/2015|Non Active|1|5|3 Years|2 Years|Bachelor|Low|Medium|Good|Very High|Better|Lewis|Male|82072|White Collar
Sales and Marketing|Group C|Full Time|Single|45|Seattle|05/12/2014|Non Active|4|8|3 Years|2 Years|Doctor|Low|Medium|Excellent|Medium|Better|Villarreal|Male|85057|Blue Collar
Finances|Group C|Part Time|Single|24|Houston|04/24/2018|Active|8|5|3 Years|3 Years|Masters|Very High|Medium|Good|Medium|Bad|Finley|Female|119110|Blue Collar
Research and Development|Group D|Part Time|Single|47|Houston|10/11/2018|Non Active|2|18|3 Years|1 Year|Masters|Medium|Medium|Good|Low|Better|Carney|Male|73670|Blue Collar
Customer Service|Group B|Part Time|Married|35|Seattle|12/02/2018|Active|1|20|1 Year|3 Years|Masters|Low|Low|Good|Very High|Bad|Emerson|Male|96741|Other
Payroll|Group B|Full Time|Divorced|53|Los Angeles|06/26/2017|Non Active|3|12|2 Years|3 Years|Masters|Low|Low|Outstanding|Low|Better|Atkins|Male|88424|White Collar
Tech Support|Group B|Part Time|Single|54|Houston|06/16/2014|Active|1|18|1 Year|3 Years|Masters|High|Low|Excellent|Medium|Good|Wyatt|Male|103296|Blue Collar
Tech Support|Group B|Full Time|Married|45|New York City|11/23/2013|Active|10|15|2 Years|2 Years|Bachelor|Medium|Medium|Low|Very High|Bad|Gardner|Female|99709|Blue Collar
Public Relations|Group B|Part Time|Divorced|57|New York City|10/15/2016|Active|6|20|3 Years|2 Years|Doctor|Medium|Medium|Good|Medium|Good|Greene|Male|70279|White Collar
Customer Relations|Group C|Part Time|Single|42|Los Angeles|08/16/2013|Active|10|8|1 Year|3 Years|Bachelor|High|Low|Excellent|High|Best|Graves|Female|104536|White Collar
Research and Development|Group C|Full Time|Single|58|Seattle|07/20/2016|Non Active|4|20|2 Years|1 Year|Bachelor|Very High|Medium|Outstanding|Low|Bad|Browning|Male|108506|White Collar
Tech Support|Group A|Full Time|Single|61|New York City|01/05/2016|Active|9|20|1 Year|3 Years|Bachelor|Very High|Medium|Excellent|High|Better|Cunningham|Female|82535|Other
Quality Assurance|Group B|Part Time|Married|65|New York City|01/13/2018|Active|2|7|2 Years|1 Year|Masters|Very High|Low|Good|Medium|Better|Phelps|Female|79766|Blue Collar
Sales and Marketing|Group C|Part Time|Divorced|28|New York City|05/25/2018|Active|5|10|2 Years|3 Years|Masters|Very High|High|Excellent|Low|Good|Carson|Male|72660|White Collar
Payroll|Group D|Part Time|Married|35|Los Angeles|09/19/2018|Active|1|5|1 Year|2 Years|Bachelor|Medium|Very High|Low|High|Good|Holt|Male|103953|Blue Collar
Research and Development|Group A|Full Time|Divorced|59|New York City|11/01/2015|Active|8|5|2 Years|2 Years|College|Very High|Very High|Outstanding|High|Good|Small|Male|91125|Blue Collar
Media Relations|Group C|Part Time|Divorced|37|Houston|06/08/2015|Non Active|6|14|2 Years|3 Years|Masters|High|Low|Low|Low|Bad|Ryan|Male|88754|Other
Research and Development|Group B|Full Time|Divorced|36|Houston|11/08/2013|Non Active|1|15|2 Years|3 Years|Doctor|Very High|Low|Outstanding|Very High|Bad|Alvarado|Female|104661|Blue Collar
Legal Department|Group C|Part Time|Married|30|New York City|09/24/2017|Active|3|18|1 Year|1 Year|Doctor|Medium|Medium|Good|Very High|Best|Brock|Female|115753|White Collar
Public Relations|Group D|Part Time|Divorced|43|Seattle|09/15/2013|Non Active|7|12|2 Years|1 Year|Masters|Very High|High|Excellent|Very High|Better|Jacobs|Male|70100|White Collar
Advertising|Group D|Part Time|Divorced|24|Los Angeles|09/04/2013|Active|1|6|2 Years|1 Year|Masters|Very High|High|Outstanding|Very High|Good|Solomon|Male|76812|White Collar
Media Relations|Group C|Part Time|Divorced|32|Seattle|06/23/2014|Active|10|12|2 Years|3 Years|Masters|Medium|High|Good|Medium|Best|Mullen|Female|116486|Other
